#           k/h    P           
    0.15678E+01    0.21595E+02
    0.15994E+01    0.20582E+02
    0.16318E+01    0.19615E+02
    0.16647E+01    0.18692E+02
    0.16984E+01    0.17811E+02
    0.17327E+01    0.16971E+02
    0.17677E+01    0.16169E+02
    0.18034E+01    0.15405E+02
    0.18398E+01    0.14675E+02
    0.18770E+01    0.13979E+02
    0.19149E+01    0.13315E+02
    0.19536E+01    0.12682E+02
    0.19930E+01    0.12079E+02
    0.20333E+01    0.11503E+02
    0.20744E+01    0.10954E+02
    0.21163E+01    0.10431E+02
    0.21590E+01    0.99317E+01
    0.22026E+01    0.94560E+01
    0.22471E+01    0.90027E+01
    0.22925E+01    0.85705E+01
    0.23388E+01    0.81586E+01
    0.23861E+01    0.77661E+01
    0.24343E+01    0.73920E+01
    0.24835E+01    0.70355E+01
    0.25336E+01    0.66959E+01
    0.25848E+01    0.63723E+01
    0.26370E+01    0.60640E+01
    0.26903E+01    0.57703E+01
    0.27447E+01    0.54905E+01
    0.28001E+01    0.52240E+01
    0.28567E+01    0.49702E+01
    0.29144E+01    0.47284E+01
    0.29733E+01    0.44982E+01
    0.30333E+01    0.42790E+01
    0.30946E+01    0.40702E+01
    0.31571E+01    0.38714E+01
    0.32209E+01    0.36822E+01
    0.32860E+01    0.35020E+01
    0.33523E+01    0.33305E+01
    0.34201E+01    0.31672E+01
    0.34892E+01    0.30117E+01
    0.35596E+01    0.28638E+01
    0.36316E+01    0.27230E+01
    0.37049E+01    0.25890E+01
    0.37798E+01    0.24614E+01
    0.38561E+01    0.23401E+01
    0.39340E+01    0.22246E+01
    0.40135E+01    0.21147E+01
    0.40946E+01    0.20102E+01
    0.41773E+01    0.19107E+01
    0.42617E+01    0.18161E+01
    0.43478E+01    0.17260E+01
    0.44356E+01    0.16404E+01
    0.45252E+01    0.15590E+01
    0.46166E+01    0.14815E+01
    0.47099E+01    0.14078E+01
    0.48050E+01    0.13377E+01
    0.49021E+01    0.12711E+01
    0.50011E+01    0.12077E+01
    0.51021E+01    0.11474E+01
    0.52052E+01    0.10901E+01
    0.53104E+01    0.10357E+01
    0.54176E+01    0.98385E+00
    0.55271E+01    0.93460E+00
    0.56387E+01    0.88778E+00
    0.57526E+01    0.84327E+00
    0.58689E+01    0.80095E+00
    0.59874E+01    0.76074E+00
    0.61084E+01    0.72251E+00
    0.62318E+01    0.68617E+00
    0.63577E+01    0.65164E+00
    0.64861E+01    0.61882E+00
    0.66171E+01    0.58764E+00
    0.67508E+01    0.55800E+00
    0.68872E+01    0.52983E+00
    0.70263E+01    0.50307E+00
    0.71682E+01    0.47765E+00
    0.73130E+01    0.45349E+00
    0.74608E+01    0.43053E+00
    0.76115E+01    0.40873E+00
    0.77653E+01    0.38801E+00
    0.79221E+01    0.36833E+00
    0.80822E+01    0.34964E+00
    0.82454E+01    0.33188E+00
    0.84120E+01    0.31502E+00
    0.85819E+01    0.29900E+00
    0.87553E+01    0.28378E+00
    0.89322E+01    0.26933E+00
    0.91126E+01    0.25561E+00
    0.92967E+01    0.24258E+00
    0.94845E+01    0.23020E+00
    0.96761E+01    0.21845E+00
    0.98716E+01    0.20729E+00
    0.10071E+02    0.19670E+00
    0.10274E+02    0.18664E+00
    0.10482E+02    0.17709E+00
    0.10694E+02    0.16802E+00
    0.10910E+02    0.15941E+00
    0.11130E+02    0.15124E+00
    0.11355E+02    0.14348E+00
    0.11584E+02    0.13611E+00
    0.11818E+02    0.12912E+00
    0.12057E+02    0.12249E+00
    0.12301E+02    0.11619E+00
    0.12549E+02    0.11021E+00
    0.12803E+02    0.10454E+00
    0.13061E+02    0.99152E-01
    0.13325E+02    0.94042E-01
    0.13594E+02    0.89193E-01
    0.13869E+02    0.84591E-01
    0.14149E+02    0.80224E-01
    0.14435E+02    0.76080E-01
    0.14727E+02    0.72149E-01
    0.15024E+02    0.68418E-01
    0.15328E+02    0.64878E-01
